ÝLÇE;ALAN;OKUL ADI;2022;2023;2024;2025 Tahmin
MAMAK (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Nuri Pamir Anadolu Ýmam Hatip Lisesi;98.96;91.18;87.49;
NALLIHAN;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Nallýhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi;72.73;90.71;89.09;
ELMADAÐ;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Elmadað Anadolu Ýmam Hatip Lisesi;82.66;94.84;89.21;
ETÝMESGUT (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Eryaman Þehit Okan Koç Anadolu Ýmam Hatip Lisesi;94.19;80.31;90.34;
YENÝMAHALLE (MERKEZ);ÝNÞAAT TEKNOLOJÝSÝ ALANI;Mimar Sinan Mesleki ve Teknik Anadolu Lisesi;44.19;46.8;91.23;
AKYURT;HAFIZLIK PROJESÝ (Ýlahiyat Odaklý Program);Muhammed Hamdi Yazýr Anadolu Ýmam Hatip Lisesi;97.82;0;91.65;
ALTINDAÐ (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Yýldýrým Beyazýt Anadolu Ýmam Hatip Lisesi;92.95;87.71;91.96;
GÖLBAÞI;TARIM ALANI;Karaali Mesleki ve Teknik Anadolu Lisesi;0;87.04;93.16;
ÇANKAYA (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Nurten Uþan Anadolu Ýmam Hatip Lisesi;77.43;90.14;93.29;
MAMAK (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Osman Yüksel Serdengeçti Kýz Anadolu Ýmam Hatip Lisesi;0;83.6;93.61;
BEYPAZARI;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Hacý Kazým Ozan Kýz Anadolu Ýmam Hatip Lisesi;96.74;94.94;95.73;
HAYMANA;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Haymana Anadolu Ýmam Hatip Lisesi;91.5;97.64;96.21;
KEÇÝÖREN (MERKEZ);BÝYOMEDÝKAL CÝHAZ TEKNOLOJÝLERÝ ALANI;Baðlum Þehit Oðuz Kaan Usta Mesleki ve Teknik Anadolu Lisesi;76.8;97.64;97.37;
NALLIHAN;LABORATUVAR HÝZMETLERÝ ALANI;Nallýhan Þehit Hulki Beydili Mesleki ve Teknik Anadolu Lisesi;89.77;96.75;97.61;
YENÝMAHALLE (MERKEZ);GAZETECÝLÝK ALANI;Batýkent Þevket Evliyagil Mesleki ve Teknik Anadolu Lisesi;0;91.28;97.62;
KAHRAMANKAZAN;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Kahramankazan Fuat Erkmen Anadolu Ýmam Hatip Lisesi;89.29;89.63;97.68;
POLATLI;TARIM ALANI;Polatlý Þehit Can Çalýþkan Mesleki ve Teknik Anadolu Lisesi;95.43;95.23;97.7;
ALTINDAÐ (MERKEZ);GIDA TEKNOLOJÝSÝ ALANI;Atatürk Mesleki ve Teknik Anadolu Lisesi;55.43;56.25;98.26;
YENÝMAHALLE (MERKEZ);KONAKLAMA VE SEYAHAT HÝZMETLERÝ ALANI (SINAVLI);Ankara Mesleki ve Teknik Anadolu Lisesi;99.44;43.59;99.22;
ÇANKAYA (MERKEZ);KONAKLAMA VE SEYAHAT HÝZMETLERÝ ALANI (SINAVLI);Çankaya Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;99.7;81.34;99.63;
YENÝMAHALLE (MERKEZ);YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);Ankara Mesleki ve Teknik Anadolu Lisesi;99.44;43.59;99.71;
KALECÝK;TARIM ALANI;Kalecik Þehit Mehmet Yýldýrým Mesleki ve Teknik Anadolu Lisesi;97.73;80.79;99.84;
