İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
KEÇİÖREN (MERKEZ),Kalaba Kız Mesleki ve Teknik Anadolu Lisesi,0.0,0.0,57.35,,ÇOCUK GELİŞİMİ VE EĞİTİMİ ALANI (SINAVLI),Anadolu Meslek Programı
ÇANKAYA (MERKEZ),Borsa İstanbul Mehmet Akif Ersoy Mesleki ve Teknik Anadolu Lisesi,43.19,48.96,60.31,,LABORATUVAR HİZMETLERİ ALANI,Anadolu Teknik Programı
ÇANKAYA (MERKEZ),Balgat Mesleki ve Teknik Anadolu Lisesi,52.48,47.93,60.32,,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
PURSAKLAR,Pursaklar Kız Mesleki ve Teknik Anadolu Lisesi,0.0,0.0,60.62,,ÇOCUK GELİŞİMİ VE EĞİTİMİ ALANI,Anadolu Teknik Programı
BEYPAZARI,Beypazarı Fatih Mesleki ve Teknik Anadolu Lisesi,62.62,65.64,61.23,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı
MAMAK (MERKEZ),Ege Mesleki ve Teknik Anadolu Lisesi,0.0,52.63,61.64,,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
KEÇİÖREN (MERKEZ),Aydınlıkevler Mesleki ve Teknik Anadolu Lisesi,47.3,49.48,62.4,,MUHASEBE VE FİNANSMAN ALANI,Anadolu Teknik Programı
ÇANKAYA (MERKEZ),Türk Telekom Mesleki ve Teknik Anadolu Lisesi,40.68,39.4,63.63,,RADYO-TELEVİZYON ALANI,Anadolu Teknik Programı
BEYPAZARI,Beypazarı Şehit Sefa Tiftik Anadolu İmam Hatip Lisesi,92.87,96.22,63.67,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
KEÇİÖREN (MERKEZ),Bağlum Şehit Yakup Çapat Anadolu İmam Hatip Lisesi,83.36,84.4,67.31,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
SİNCAN (MERKEZ),Sincan Ahmet Andiçen Mesleki ve Teknik Anadolu Lisesi,0.0,65.35,68.05,,MUHASEBE VE FİNANSMAN ALANI (SINAVLI),Anadolu Meslek Programı
KAHRAMANKAZAN,Kahramankazan Kız Anadolu İmam Hatip Lisesi,60.79,61.72,68.36,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ALTINDAĞ (MERKEZ),Altındağ Mesleki ve Teknik Anadolu Lisesi,74.53,69.53,68.97,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
GÖLBAŞI,Mogan Mesleki ve Teknik Anadolu Lisesi,74.86,63.66,69.32,,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
ÇANKAYA (MERKEZ),Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,99.7,81.34,69.76,,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
GÖLBAŞI,Mogan Mesleki ve Teknik Anadolu Lisesi,74.86,63.66,70.07,,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
YENİMAHALLE (MERKEZ),Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,44.19,46.8,71.61,,HARİTA-TAPU-KADASTRO ALANI,Anadolu Teknik Programı
ETİMESGUT (MERKEZ),Bağlıca Şehit Kalender Özdemir Anadolu İmam Hatip Lisesi,61.53,57.33,74.79,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,75.79,,RADYO-TELEVİZYON ALANI (SINAVLI),Anadolu Meslek Programı
MAMAK (MERKEZ),Türközü Oğuzhan Mesleki ve Teknik Anadolu Lisesi,80.89,82.27,76.56,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
GÖLBAŞI,Mehmet Akif Ersoy Anadolu İmam Hatip Lisesi,55.34,59.8,79.68,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
AYAŞ,Abdülhamid Han Anadolu İmam Hatip Lisesi,83.61,71.07,80.02,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
NALLIHAN,Nallıhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi,72.73,90.71,80.8,,TARIM ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Çiğdemtepe Şehit Mehmet Coşkun Kılıç Mesleki ve Teknik Anadolu Lisesi,80.45,74.91,83.01,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
MAMAK (MERKEZ),Battalgazi Mesleki ve Teknik Anadolu Lisesi,77.6,72.45,86.82,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
MAMAK (MERKEZ),Şehit Nuri Pamir Anadolu İmam Hatip Lisesi,98.96,91.18,87.49,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
NALLIHAN,Nallıhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi,72.73,90.71,89.09,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ELMADAĞ,Elmadağ Anadolu İmam Hatip Lisesi,82.66,94.84,89.21,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ETİMESGUT (MERKEZ),Eryaman Şehit Okan Koç Anadolu İmam Hatip Lisesi,94.19,80.31,90.34,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,44.19,46.8,91.23,,İNŞAAT TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
AKYURT,Muhammed Hamdi Yazır Anadolu İmam Hatip Lisesi,97.82,0.0,91.65,,HAFIZLIK PROJESİ (İlahiyat Odaklı Program),Anadolu İmam Hatip Lisesi
ALTINDAĞ (MERKEZ),Yıldırım Beyazıt Anadolu İmam Hatip Lisesi,92.95,87.71,91.96,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
GÖLBAŞI,Karaali Mesleki ve Teknik Anadolu Lisesi,0.0,87.04,93.16,,TARIM ALANI,Anadolu Meslek Programı
ÇANKAYA (MERKEZ),Nurten Uşan Anadolu İmam Hatip Lisesi,77.43,90.14,93.29,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
MAMAK (MERKEZ),Osman Yüksel Serdengeçti Kız Anadolu İmam Hatip Lisesi,0.0,83.6,93.61,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
BEYPAZARI,Şehit Hacı Kazım Ozan Kız Anadolu İmam Hatip Lisesi,96.74,94.94,95.73,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
HAYMANA,Haymana Anadolu İmam Hatip Lisesi,91.5,97.64,96.21,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
KEÇİÖREN (MERKEZ),Bağlum Şehit Oğuz Kaan Usta Mesleki ve Teknik Anadolu Lisesi,76.8,97.64,97.37,,BİYOMEDİKAL CİHAZ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
NALLIHAN,Nallıhan Şehit Hulki Beydili Mesleki ve Teknik Anadolu Lisesi,89.77,96.75,97.61,,LABORATUVAR HİZMETLERİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Batıkent Şevket Evliyagil Mesleki ve Teknik Anadolu Lisesi,0.0,91.28,97.62,,GAZETECİLİK ALANI,Anadolu Teknik Programı
KAHRAMANKAZAN,Kahramankazan Fuat Erkmen Anadolu İmam Hatip Lisesi,89.29,89.63,97.68,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
POLATLI,Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi,95.43,95.23,97.7,,TARIM ALANI,Anadolu Teknik Programı
ALTINDAĞ (MERKEZ),Atatürk Mesleki ve Teknik Anadolu Lisesi,55.43,56.25,98.26,,GIDA TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,99.44,43.59,99.22,,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
ÇANKAYA (MERKEZ),Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,99.7,81.34,99.63,,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
YENİMAHALLE (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,99.44,43.59,99.71,,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
KALECİK,Kalecik Şehit Mehmet Yıldırım Mesleki ve Teknik Anadolu Lisesi,97.73,80.79,99.84,,TARIM ALANI,Anadolu Teknik Programı
