İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
KAHRAMANKAZAN,Mustafa Hakan Güvençer Fen Lisesi,8.37,8.19,7.61,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
SİNCAN (MERKEZ),Fatih Anadolu Lisesi,9.74,8.54,8.47,,ANADOLU LİSESİ,Anadolu Lisesi
YENİMAHALLE (MERKEZ),Şehit Ömer Halisdemir Anadolu İmam Hatip Lisesi,10.87,9.22,8.7,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
PURSAKLAR,Pursaklar Ayyıldız Anadolu Lisesi,8.63,8.54,8.74,,ANADOLU LİSESİ,Anadolu Lisesi
POLATLI,Polatlı TOBB Fen Lisesi,8.75,8.38,8.77,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
GÖLBAŞI,Gölbaşı Anadolu Lisesi,8.93,9.2,8.85,,ANADOLU LİSESİ,Anadolu Lisesi
MAMAK (MERKEZ),Yavuz Sultan Selim Anadolu Lisesi,9.07,9.06,8.92,,ANADOLU LİSESİ,Anadolu Lisesi
ÇUBUK,Meliha Hasanali Bostan Çubuk Fen Lisesi,8.85,8.82,8.95,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
ALTINDAĞ (MERKEZ),Altındağ Gazi Anadolu Lisesi,11.53,10.82,9.65,,ANADOLU LİSESİ,Anadolu Lisesi
YENİMAHALLE (MERKEZ),Şehit Cengiz Polat Anadolu İmam Hatip Lisesi,14.23,11.26,9.94,,FEN VE TEKNOLOJİ PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi
ÇANKAYA (MERKEZ),Ankara Türk Telekom Sosyal Bilimler Lisesi,10.78,10.29,10.09,,,Sosyal Bilimler Lisesi
KEÇİÖREN (MERKEZ),Aktepe Şehit Köksal Kaşaltı Anadolu lisesi,12.06,11.33,10.25,,ANADOLU LİSESİ,Anadolu Lisesi
KIZILCAHAMAM,TUSAŞ Şehit Hakan Gülşen Mesleki ve Teknik Anadolu Lisesi,14.52,11.95,10.78,,UÇAK BAKIM ALANI,Anadolu Teknik Programı
SİNCAN (MERKEZ),Erkan - Volkan Yiğit Anadolu İmam Hatip Lisesi,13.97,11.51,11.26,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ELMADAĞ,Hasanoğlan Atatürk Fen Lisesi,11.14,10.27,11.37,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
MAMAK (MERKEZ),Çağrıbey Anadolu Lisesi,11.09,12.08,11.45,,ANADOLU LİSESİ,Anadolu Lisesi
BEYPAZARI,Hatice-Cemil Ercan Fen Lisesi,12.94,11.69,11.5,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Elektrik),12.42,11.49,11.62,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
