İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,OKUL TÜRÜ,ALAN
ÇANKAYA (MERKEZ),Türk Telekom Mesleki ve Teknik Anadolu Lisesi,40.68,39.4,63.63,,Anadolu Teknik Programı,RADYO-TELEVİZYON ALANI
BEYPAZARI,Beypazarı Şehit Sefa Tiftik Anadolu İmam Hatip Lisesi,92.87,96.22,63.67,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
KEÇİÖREN (MERKEZ),Bağlum Şehit Yakup Çapat Anadolu İmam Hatip Lisesi,83.36,84.4,67.31,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
SİNCAN (MERKEZ),Sincan Ahmet Andiçen Mesleki ve Teknik Anadolu Lisesi,0.0,65.35,68.05,,Anadolu Meslek Programı,MUHASEBE VE FİNANSMAN ALANI (SINAVLI)
KAHRAMANKAZAN,Kahramankazan Kız Anadolu İmam Hatip Lisesi,60.79,61.72,68.36,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
ALTINDAĞ (MERKEZ),Altındağ Mesleki ve Teknik Anadolu Lisesi,74.53,69.53,68.97,,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI
GÖLBAŞI,Mogan Mesleki ve Teknik Anadolu Lisesi,74.86,63.66,69.32,,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI)
ÇANKAYA (MERKEZ),Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,99.7,81.34,69.76,,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI)
GÖLBAŞI,Mogan Mesleki ve Teknik Anadolu Lisesi,74.86,63.66,70.07,,Anadolu Meslek Programı,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI)
YENİMAHALLE (MERKEZ),Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,44.19,46.8,71.61,,Anadolu Teknik Programı,HARİTA-TAPU-KADASTRO ALANI
ETİMESGUT (MERKEZ),Bağlıca Şehit Kalender Özdemir Anadolu İmam Hatip Lisesi,61.53,57.33,74.79,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,75.79,,Anadolu Meslek Programı,RADYO-TELEVİZYON ALANI (SINAVLI)
MAMAK (MERKEZ),Türközü Oğuzhan Mesleki ve Teknik Anadolu Lisesi,80.89,82.27,76.56,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
GÖLBAŞI,Mehmet Akif Ersoy Anadolu İmam Hatip Lisesi,55.34,59.8,79.68,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
AYAŞ,Abdülhamid Han Anadolu İmam Hatip Lisesi,83.61,71.07,80.02,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
NALLIHAN,Nallıhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi,72.73,90.71,80.8,,Anadolu Teknik Programı,TARIM ALANI
YENİMAHALLE (MERKEZ),Çiğdemtepe Şehit Mehmet Coşkun Kılıç Mesleki ve Teknik Anadolu Lisesi,80.45,74.91,83.01,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
MAMAK (MERKEZ),Battalgazi Mesleki ve Teknik Anadolu Lisesi,77.6,72.45,86.82,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
MAMAK (MERKEZ),Şehit Nuri Pamir Anadolu İmam Hatip Lisesi,98.96,91.18,87.49,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
NALLIHAN,Nallıhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi,72.73,90.71,89.09,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
ELMADAĞ,Elmadağ Anadolu İmam Hatip Lisesi,82.66,94.84,89.21,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
ETİMESGUT (MERKEZ),Eryaman Şehit Okan Koç Anadolu İmam Hatip Lisesi,94.19,80.31,90.34,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
YENİMAHALLE (MERKEZ),Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,44.19,46.8,91.23,,Anadolu Teknik Programı,İNŞAAT TEKNOLOJİSİ ALANI
AKYURT,Muhammed Hamdi Yazır Anadolu İmam Hatip Lisesi,97.82,0.0,91.65,,Anadolu İmam Hatip Lisesi,HAFIZLIK PROJESİ (İlahiyat Odaklı Program)
ALTINDAĞ (MERKEZ),Yıldırım Beyazıt Anadolu İmam Hatip Lisesi,92.95,87.71,91.96,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
GÖLBAŞI,Karaali Mesleki ve Teknik Anadolu Lisesi,0.0,87.04,93.16,,Anadolu Meslek Programı,TARIM ALANI
ÇANKAYA (MERKEZ),Nurten Uşan Anadolu İmam Hatip Lisesi,77.43,90.14,93.29,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
MAMAK (MERKEZ),Osman Yüksel Serdengeçti Kız Anadolu İmam Hatip Lisesi,0.0,83.6,93.61,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
BEYPAZARI,Şehit Hacı Kazım Ozan Kız Anadolu İmam Hatip Lisesi,96.74,94.94,95.73,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
HAYMANA,Haymana Anadolu İmam Hatip Lisesi,91.5,97.64,96.21,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
KEÇİÖREN (MERKEZ),Bağlum Şehit Oğuz Kaan Usta Mesleki ve Teknik Anadolu Lisesi,76.8,97.64,97.37,,Anadolu Teknik Programı,BİYOMEDİKAL CİHAZ TEKNOLOJİLERİ ALANI
NALLIHAN,Nallıhan Şehit Hulki Beydili Mesleki ve Teknik Anadolu Lisesi,89.77,96.75,97.61,,Anadolu Teknik Programı,LABORATUVAR HİZMETLERİ ALANI
YENİMAHALLE (MERKEZ),Batıkent Şevket Evliyagil Mesleki ve Teknik Anadolu Lisesi,0.0,91.28,97.62,,Anadolu Teknik Programı,GAZETECİLİK ALANI
KAHRAMANKAZAN,Kahramankazan Fuat Erkmen Anadolu İmam Hatip Lisesi,89.29,89.63,97.68,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
POLATLI,Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi,95.43,95.23,97.7,,Anadolu Teknik Programı,TARIM ALANI
ALTINDAĞ (MERKEZ),Atatürk Mesleki ve Teknik Anadolu Lisesi,55.43,56.25,98.26,,Anadolu Teknik Programı,GIDA TEKNOLOJİSİ ALANI
YENİMAHALLE (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,99.44,43.59,99.22,,Anadolu Meslek Programı,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI)
ÇANKAYA (MERKEZ),Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,99.7,81.34,99.63,,Anadolu Meslek Programı,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI)
YENİMAHALLE (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,99.44,43.59,99.71,,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI)
KALECİK,Kalecik Şehit Mehmet Yıldırım Mesleki ve Teknik Anadolu Lisesi,97.73,80.79,99.84,,Anadolu Teknik Programı,TARIM ALANI
