ÝLÇE;OKUL ADI;2022 Yüzdelik;2023 Yüzdelik;2024 Yüzdelik;2025 Tahmin ;TÜR;ALAN;;;;;;;;
KEÇÝÖREN (MERKEZ);Aydýnlýkevler Anadolu Lisesi;7.31;7.02;7.04;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ALTINDAÐ (MERKEZ);Ankara Lisesi;7.57;7.14;7.14;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Ayrancý Anadolu Lisesi (Çince);7.18;7.06;7.16;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Ümitköy Anadolu Lisesi;7.88;7.06;7.23;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ETÝMESGUT (MERKEZ);Þehit Ömer Halisdemir Anadolu Lisesi;8.24;7.66;7.23;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
KAHRAMANKAZAN;Mustafa Hakan Güvençer Fen Lisesi;8.37;8.19;7.61;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
SÝNCAN (MERKEZ);Fatih Anadolu Lisesi;9.74;8.54;8.47;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
YENÝMAHALLE (MERKEZ);Þehit Ömer Halisdemir Anadolu Ýmam Hatip Lisesi;10.87;9.22;8.7;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
PURSAKLAR;Pursaklar Ayyýldýz Anadolu Lisesi;8.63;8.54;8.74;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
POLATLI;Polatlý TOBB Fen Lisesi;8.75;8.38;8.77;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
GÖLBAÞI;Gölbaþý Anadolu Lisesi;8.93;9.2;8.85;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
MAMAK (MERKEZ);Yavuz Sultan Selim Anadolu Lisesi;9.07;9.06;8.92;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇUBUK;Meliha Hasanali Bostan Çubuk Fen Lisesi;8.85;8.82;8.95;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
ALTINDAÐ (MERKEZ);Altýndað Gazi Anadolu Lisesi;11.53;10.82;9.65;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
YENÝMAHALLE (MERKEZ);Þehit Cengiz Polat Anadolu Ýmam Hatip Lisesi;14.23;11.26;9.94;;Hazýrlýk Sýnýfý Bulunan Anadolu Ýmam Hatip Lisesi;FEN VE TEKNOLOJÝ PROGRAMI;;;;;;;;
ÇANKAYA (MERKEZ);Ankara Türk Telekom Sosyal Bilimler Lisesi;10.78;10.29;10.09;;Sosyal Bilimler Lisesi;;;;;;;;;
KEÇÝÖREN (MERKEZ);Aktepe Þehit Köksal Kaþaltý Anadolu lisesi;12.06;11.33;10.25;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
KIZILCAHAMAM;TUSAÞ Þehit Hakan Gülþen Mesleki ve Teknik Anadolu Lisesi;14.52;11.95;10.78;;Anadolu Teknik Programý;UÇAK BAKIM ALANI;;;;;;;;
SÝNCAN (MERKEZ);Erkan - Volkan Yiðit Anadolu Ýmam Hatip Lisesi;13.97;11.51;11.26;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ELMADAÐ;Hasanoðlan Atatürk Fen Lisesi;11.14;10.27;11.37;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
MAMAK (MERKEZ);Çaðrýbey Anadolu Lisesi;11.09;12.08;11.45;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
BEYPAZARI;Hatice-Cemil Ercan Fen Lisesi;12.94;11.69;11.5;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Elektrik);12.42;11.49;11.62;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Bilþm);13.05;11.88;11.95;;Anadolu Teknik Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Þehit Cengiz Polat Anadolu Ýmam Hatip Lisesi;14.23;11.26;12.35;;Hazýrlýk Sýnýfý Bulunan Anadolu Ýmam Hatip Lisesi;FEN VE TEKNOLOJÝ PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Sosyal Bilimler Lisesi;11.08;12.34;12.94;;Sosyal Bilimler Lisesi;SOSYAL BÝLÝMLER ;;;;;;;;
ÇANKAYA (MERKEZ);Hasan Ali Yücel Sosyal Bilimler Lisesi;13.06;13.12;12.98;;Sosyal Bilimler Lisesi;SOSYAL BÝLÝMLER ;;;;;;;;
ALTINDAÐ (MERKEZ);Piri Reis Anadolu Lisesi;15.8;13.77;13.11;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
MAMAK (MERKEZ);Baþkent Anadolu Lisesi;13.46;13.66;13.32;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
YENÝMAHALLE (MERKEZ);Gazi Mesleki ve Teknik Anadolu Lisesi (Uçak);14.1;14.02;13.97;;Anadolu Teknik Programý;UÇAK BAKIM ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Elektrik);0;16.99;14.11;;Anadolu Meslek Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI (SINAVLI);;;;;;;;
YENÝMAHALLE (MERKEZ);Gazi Mesleki ve Teknik Anadolu Lisesi (Biliþim);13.66;13.44;14.13;;Anadolu Teknik Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Bilþm);0;16.91;14.38;;Anadolu Meslek Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI (SINAVLI);;;;;;;;
YENÝMAHALLE (MERKEZ);Batýkent Þehit Demet Sezen Kýz Anadolu Ýmam Hatip Lisesi;20.39;17.99;14.46;;Hazýrlýk Sýnýfý Bulunan Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ÞEREFLÝKOÇHÝSAR;Yavuz Sultan Selim Fen Lisesi;14.78;14.87;15.15;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);Gazi Mesleki ve Teknik Anadolu Lisesi (Motor);18.45;16.98;15.37;;Anadolu Teknik Programý;MOTORLU ARAÇLAR TEKNOLOJÝSÝ ALANI;;;;;;;;
ETÝMESGUT (MERKEZ);Sezai Karakoç Anadolu Lisesi;15.99;15.46;15.97;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
YENÝMAHALLE (MERKEZ);Tevfik Ýleri Anadolu Ýmam Hatip Lisesi (Hafýzlýk);18.88;21.39;15.99;;Anadolu Ýmam Hatip Lisesi;HAFIZLIK PROJESÝ (Fen ve Sosyal Bilimler Programý);;;;;;;;
KEÇÝÖREN (MERKEZ);Atatürk Anadolu Ýmam Hatip Lisesi;19.03;17.99;16.1;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
